"Old","New","old","new"
"U+5C46","U+5C4A","屆","届"
"U+7E69","U+7E04","繩","縄"
"U+8CB3","U+5F10","貳","弐"
"U+8CAE","U+5F10","貮","弐"
"U+97ED","U+97EE","韭","韮"
"U+79B0","U+7962","禰","祢"
"U+8FFA","U+5EFC","迺","廼"
"U+5885","U+91CE","墅","野"
"U+57DC","U+91CE","埜","野"
"U+56CA","U+56A2","囊","嚢"
"U+60F1","U+60A9","惱","悩"
"U+8166","U+8133","腦","脳"
"U+5EE2","U+5EC3","廢","廃"
"U+62DC","U+62DD","拜","拝"
"U+76C3","U+676F","盃","杯"
"U+8EF0","U+8F29","軰","輩"
"U+8CE3","U+58F2","賣","売"
"U+8805","U+877F","蠅","蝿"
"U+9EA5","U+9EA6","麥","麦"
"U+767C","U+767A","發","発"
"U+9AEE","U+9AEA","髮","髪"
"U+7F78","U+7F70","罸","罰"
"U+62D4","U+629C","拔","抜"
"U+883B","U+86EE","蠻","蛮"
"U+7955","U+79D8","祕","秘"
"U+6A9C","U+6867","檜","桧"
"U+51B0","U+6C37","冰","氷"
"U+6FF1","U+6D5C","濱","浜"
"U+6FF5","U+6D5C","濵","浜"
"U+8CD4","U+8CD3","賔","賓"
"U+51A8","U+5BCC","冨","富"
"U+6E15","U+6DF5","渕","淵"
"U+6E0A","U+6DF5","渊","淵"
"U+62C2","U+6255","拂","払"
"U+4F5B","U+4ECF","佛","仏"
"U+7ADD","U+4E26","竝","並"
"U+7BE6","U+7B86","篦","箆"
"U+8B8A","U+5909","變","変"
"U+908A","U+8FBA","邊","辺"
"U+9089","U+8FBA","邉","辺"
"U+8FA8","U+5F01","辨","弁"
"U+8FAF","U+5F01","辯","弁"
"U+8216","U+8217","舖","舗"
"U+92EA","U+8217","鋪","舗"
"U+7A57","U+7A42","穗","穂"
"U+5BF6","U+5B9D","寶","宝"
"U+5BF3","U+5B9D","寳","宝"
"U+5CEF","U+5CF0","峯","峰"
"U+8420","U+840C","萠","萌"
"U+8C50","U+8C4A","豐","豊"
"U+7683","U+8C8C","皃","貌"
"U+9830","U+982C","頰","頬"
"U+6C92","U+6CA1","沒","没"
"U+98DC","U+7FFB","飜","翻"
"U+51E2","U+51E1","凢","凡"
"U+69C7","U+69D9","槇","槙"
"U+67A1","U+685D","枡","桝"
"U+5118","U+4FAD","儘","侭"
"U+842C","U+4E07","萬","万"
"U+6EFF","U+6E80","滿","満"
"U+8109","U+8108","脉","脈"
"U+68A6","U+5922","梦","夢"
"U+65E0","U+7121","无","無"
"U+58FB","U+5A7F","壻","婿"
"U+805F","U+5A7F","聟","婿"
"U+9763","U+9762","靣","面"
"U+9EAA","U+9EBA","麪","麺"
"U+9EB5","U+9EBA","麵","麺"
"U+9ED8","U+9ED9","默","黙"
"U+5F4C","U+5F25","彌","弥"
"U+85E5","U+85AC","藥","薬"
"U+6801","U+67F3","栁","柳"
"U+7C54","U+85AE","籔","薮"
"U+85EA","U+85AE","藪","薮"
